Page in 1991	Sort	Page in 2025	Ready	Title	Text Meter	Scripture	Key	Text Attribution	Tune Attribution	Copyright
351	351	351	TRUE	PITTSFORD	C.M.	Praise the Lord with harp: sing unto him.—Ps. 33:2.	C Major	Isaac Watts, 1707.	Hezekiah Moors, 1809.	[no copyright]
352	352	352	TRUE	SWANTON	L.M.	Our soul waiteth for the Lord: he is our help and our shield.—Ps. 33:20.	E Major	Isaac Watts, 1707.	Hezekiah Moors, 1809.	[no copyright]
353	353	353	TRUE	McGRAW	L.M.	Every day will I bless thee; and I will praise thy name for ever and ever.—Ps. 145:2.	F Major	Isaac Watts, 1719.	P. Dan Brittain, 1971.	Copyright 1991 Sacred Harp Publishing Company.
354t	354.1	354.1	TRUE	LEBANON	8,6,8,8.	And all things, whatsoever ye shall ask in prayer, believing, ye shall receive.—Matt. 21:22.	A Major	Anne Steele, 1756.	J. Monroe Denton, 1980.	Copyright 1991 Sacred Harp Publishing Company.
354b	354.2	354.2	TRUE	HAPPY LAND	P.M.	Then shall the righteous shine forth as the sun in the kingdom of their Father.—Matt. 13:43.	F Major	Andrew Young, 1838.	Arr. Leonard P. Breedlove, 1850. Alto William Walker, 1873.	[no copyright]
n518	10518	355	TRUE	TORRINGTON	S.M.	He that followeth me shall not walk in darkness, but shall have the light of life.—John 8:12.	D Major	Augustus Toplady, 1772.	Keillor Mose, 2017.	Copyright 2025 Sacred Harp Publishing Company.
n313	10313	356	TRUE	BOUNDLESS GRACE	L.M.D.	Great is the Lord, and greatly to be praised; and his greatness is unsearchable.—Ps. 145:3.	A Minor	Ottiwell Heginbotham, 1794.	Micah John Walter, 2019.	Copyright 2025 Sacred Harp Publishing Company.
n1224	11224	357	TRUE	KEDAR	C.M.	Deliver my soul, O Lord, from lying lips, and from a deceitful tongue.—Ps. 120:2.	A Major	Isaac Watts, 1719.	Thomas Ward, 2017.	Copyright 2025 Sacred Harp Publishing Company.
358	358	358	TRUE	MURILLO’S LESSON	11s D.	As the valleys are they spread forth, as gardens by the river’s side ... and as cedar trees beside the waters.—Num. 24:6.	F Major	Timothy Dwight, 1780.	Arr. The Sacred Harp, 1850, from Morelli, late 1700s. Alto S. M. Denson, 1911.	[no copyright]
359	359	359	TRUE	THE BRIDE’S FAREWELL	8s & 7s.	And they lifted up their voice, and wept again ... but Ruth clave unto her.—Ruth 1:14.	D Major	M. L. Beevor, 1840.	H. S. Rees, 1870.	[no copyright]
360	360	360	TRUE	THE ROYAL BAND	12s & 11s D.	Blessed is he that cometh in the name of the Lord; Hosanna in the highest.—Matt. 21:9.	E Minor	Mintz’s Spiritual Song Book, 1805.	W. T. Power, 1850. Alto Anna Blackshear, 1902.	[no copyright]
361	361	361	TRUE	LOVING JESUS	P.M.	I will praise thee, O Lord, with my whole heart.—Ps. 9:1.	G Major	The Sacred Harp, 1850.	Arr. B. F. White and J. S. Searcy, 1850, from Felice Giardini, 1780s. Alto S. M. Denson, 1911.	[no copyright]
362	362	362	TRUE	NORWICH	C.M.D.	These things have I spoken unto you, that my joy might remain in you, and that your joy might be full.—John 15:11.	B♭ Major	Isaac Watts, 1707.	Arr. D. P. White, 1850, from Samuel Holyoke, 1803.	[no copyright]
365	365	364	TRUE	SOUTHWELL	C.P.M.	He said, It is finished: and he bowed his head, and gave up the ghost.—John 19:30.	E Major	Robert Seagrave, 1742.	Elihu Carpenter, 1787.	[no copyright]
n351	10351	366	TRUE	BREMEN	P.M.	Rejoice ye in that day, and leap for joy: for, behold, your reward is great in heaven.—Luke 6:23.	F♯ Minor	Charles Wesley, 1749.	Fynnian Titford-Mock, 2025.	Copyright 2025 Sacred Harp Publishing Company.
n612	10612	367	TRUE	NASSAU	C.M.D.	Be strong and of a good courage ... for the Lord thy God, he it is that doth go with thee.—Deut. 31:6.	A Minor	John Adam Granade, 1804.	Lauren R. Bock, 2010.	Copyright 2025 Sacred Harp Publishing Company.
368	368	368	TRUE	STONY POINT	8,8,8,6 D.	I will praise the name of God with a song.—Ps. 69:30.	F Major	Social and Camp-Meeting Songs, 1822.	Judy Hauff, 1990.	Copyright 1991 Sacred Harp Publishing Company.
369	369	369	TRUE	SEND A BLESSING	10s & 11s. 	Ask, and ye shall receive, that your joy may be full.—John 16:24.	A Major	John Gambold, 1748.	B. F. White and L. L. Ledbetter, 1859. Alto The Sacred Harp, Cooper revision, 1902.	[no copyright]
370	370	370	TRUE	MONROE	8s & 7s D.	Let him deny himself, and take up his cross, and follow me.—Matt. 16:24.	A Minor	Henry F. Lyte, 1824.	W. S. Turner, 1859. Alto W. R. McCoy, 1902.	[no copyright]
371	371	371	TRUE	HEAVENLY DOVE	C.M.	I saw the Spirit descending from heaven like a dove, and it abode upon him.—John 1:32.	F Major	Isaac Watts, 1707.	Arr. A. Ogletree, 1859, from Abraham Maxim, 1802.	[no copyright]
372	372	372	TRUE	ROCKPORT	S.M.D.	For I have kept the ways of the Lord.—2 Sam. 22:22.	E Minor	George Heath, 1781.	Jim Carnes, 1989.	Copyright 1991 Sacred Harp Publishing Company.
373	373	373	TRUE	HOMEWARD BOUND	C.M.D.	Man goeth to his long home—Eccles. 12:5.	A♭ Major	O. A. Parris, 1935.	Howard Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
374	374	374	TRUE	OH, SING WITH ME!	L.M.D.	Serve the Lord with gladness: come before his presence with singing.—Ps. 100:2.	G Major	Mary Morrison, 1854.	Priscilla R. Lancaster, 1859. Alto Anna Blackshear, 1902.	[no copyright]
375	375	375	TRUE	LOVE THE LORD	C.M.	Yea, I have loved thee with an everlasting love.—Jer. 31:3.	F♯ Minor	Isaac Watts, 1707.	Arr. J. P. Rees, 1859. Alto B. P. Poyner, 1902.	[no copyright]
376	376	376	TRUE	HELP ME TO SING	9s & 8s D.	Sing unto him, sing psalms unto him.—Ps. 105:2.	A Minor	Mead’s General Selection, 1807.	B. F. White, 1859. Alto Anna Blackshear, 1902.	[no copyright]
377	377	377	TRUE	ETERNAL PRAISE	L.M.	I will praise the name of God with a song.—Ps. 69:30.	E Minor	Isaac Watts, 1719.	O. A. Parris, 1935.	Copyright 1936 Sacred Harp Publishing Company.
378t	378.1	378.1	TRUE	HEAVENLY PORT	C.M.	And they shall see his face.—Rev. 22:4.	A Major	Samuel Stennett, 1787.	Arr. Edmund Dumas, 1859. Alto W. M. Cooper, 1902.	[no copyright]
378b	378.2	378.2	TRUE	NEVER TURN BACK	L.M.H.	Our heart is not turned back, neither have our steps declined from thy way.—Ps. 44:18.	G Minor	Samuel Medley, 1776.	Arr. J. P. Rees and Frances E. Parkerson, 1870. Alto W. R. McCoy, 1902.	[no copyright]
379	379	379	TRUE	SPAN OF LIFE	C.M.D.	So teach us to number our days, that we may apply our hearts unto wisdom.—Ps. 90:12.	F♯ Minor	Frances Maria Cowper, 1792.	S. M. Brown, 1870. Alto J. W. McCoy, 1902.	[no copyright]
380	380	380	TRUE	LAWRENCEBURG	L.M.D.	In the Lord put I my trust.—Ps. 11:1.	F Major	Isaac Watts, 1707.	T. J. Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
n423	10423	381	TRUE	WELLS SECOND	C.M.	I will destroy this temple that is made with hands, and within three days I will build another made without hands.—Mark 14:58.	C Major	Isaac Watts, 1709.	David B. Wright, 2001.	Copyright 2025 Sacred Harp Publishing Company.
382	382	382	TRUE	COSTON	C.M.D.	Be ye kind one to another.—Eph. 4:32.	F Major	A Collection of Sacred Ballads, 1790.	T. J. Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
383	383	383	TRUE	ETERNAL DAY	C.M.D.	He became the author of eternal salvation unto all them that obey him.—Heb. 5:9.	D Minor	Charles Wesley, 1759.	J. P. Rees, 1859. Alto Anna Blackshear, 1902.	[no copyright]
384	384	384	TRUE	PANTING FOR HEAVEN	8s D.	My soul longeth, yea, even fainteth for the courts of the Lord: my heart and my flesh crieth out for the living God.—Ps. 84:2.	E♭ Major	Maria De Fleury, 1786.	S. M. Brown, 1870. Alto Minnie Floyd, 1902.	[no copyright]
385t	385.1	385.1	TRUE	FIGHT ON	S.M.	I have fought a good fight, I have finished my course.—2 Tim. 4:7.	E Minor	George Heath, 1781.	J. P. Rees, 1859. Alto W. L. McGee and W. R. McCoy, 1902.	[no copyright]
385b	385.2	385.2	TRUE	CAN I LEAVE YOU?	8s, 7s & 4s.	When they desired him to tarry longer time with them, he consented not.—Acts 18:20.	A Minor	Samuel F. Smith, 1832.	Arr. J. P. Rees, 1859. Alto J. W. Watson, 1902.	[no copyright]
386	386	386	TRUE	CHRIST OUR SONG	C.M.D.	I will be glad and rejoice in thee: I will sing praise to thy name, O thou most High.—Ps. 9:2.	F Major	Isaac Watts, 1707, and John Cennick, 1764.	T. B. McGraw, 1935.	Copyright 1936 Sacred Harp Publishing Company.
387	387	387	TRUE	PENICK	C.M.	Ye shall find rest for your souls.—Jer. 6:16.	F Major	M. Sikes, 1859.	M. Sikes, 1859. Alto S. M. Denson, 1911.	[no copyright]
388	388	388	TRUE	THE HAPPY SAILOR	P.M.	And, lo, God hath given thee all them that sail with thee.—Acts 27:24.	B♭ Major	v. 1 arr. B. F. White, 1859. v. 2–3 arr. C. J. Griggs, 1911.	Arr. B. F. White, 1859. Alto Minnie Floyd, 1902.	[no copyright]
389	389	389	TRUE	FREDERICKSBURG	C.M.	With the voice together shall they sing.—Isa. 52:8.	G Major	Original Sacred Harp, 1936.	O. H. Frederick, 1935.	Copyright 1936 Sacred Harp Publishing Company.
390	390	390	TRUE	NEW PROSPECT	C.M.	Yea, saith the Spirit, that they may rest from their labours.—Rev. 14:13.	G Major	The Baptist Magazine, 1829.	Arr. W. S. Turner, 1859. Alto Anna Blackshear, 1902.	[no copyright]
391	391	391	TRUE	SOUNDING JOY	S.M.	Truly the light is sweet, and a pleasant thing it is for the eyes to behold the sun.—Eccles. 11:7.	E Major	Isaac Watts, 1719.	Justin Morgan, 1790. Alto S. M. Denson, 1911.	[no copyright]
392	392	392	TRUE	MANCHESTER	C.M.D.	This mortal shall have put on immortality.—1 Cor. 15:54.	E♭ Major	Isaac Watts, 1707, and A Collection of Sacred Ballads, 1790.	Paine Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
n1206	11206	393	TRUE	REBEKAH	C.M.	Thou art worthy, O Lord, to receive glory and honour and power.—Rev. 4:11.	E Major	Rippon’s Selection, 1800.	Timothy R. Gilmore, 1990.	Copyright 2025 Sacred Harp Publishing Company.
394	394	394	TRUE	THE MESSIAH’S PRAISE	S.P.M.	And he is before all things, and by him all things consist.—Col. 1:17.	F Major	Benjamin Rhodes, 1787.	R. F. M. Mann and James A. Spark, 1870. Alto S. M. Denson, 1911.	[no copyright]
n764	10764	395	TRUE	UNRATH	L.M.	God is our refuge and strength, a very present help in trouble.—Ps. 46:1.	E♭ Major	Isaac Watts, 1719.	Keillor Mose, 2021.	Copyright 2025 Sacred Harp Publishing Company.
396	396	396	TRUE	NOTES ALMOST DIVINE	C.P.M.	And the true light now shineth.—1 John 2:8.	E Minor	Samuel Medley, 1789.	Paine Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
397	397	397	TRUE	THE FOUNTAIN	C.M.D.	And the blood of Jesus Christ his Son cleanseth us from all sin.—1 John 1:7.	E Minor	William Cowper, 1772.	T. J. Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
398	398	398	TRUE	THE DYING BOY	C.M.D.	And when the Lord saw her, he had compassion on her, and said unto her, Weep not.—Luke 7:13.	F Major	Nettie Lynn, 1855.	H. S. Rees, 1859.	[no copyright]
399t	399.1	399.1	TRUE	THE DYING FRIEND	8,8,8,6.	For I am now ready to be offered, and the time of my departure is at hand.—2 Tim. 4:6.	F♯ Minor	Lee Wells, 1935.	Lee Wells, 1935.	Copyright 1936 Sacred Harp Publishing Company.
399b	399.2	399.2	TRUE	HAPPY CHRISTIAN	6,6,9,6,6,9.	And my soul shall be joyful in the Lord: it shall rejoice in his salvation.—Ps. 35:9.	A Minor	Charles Wesley, 1749.	Arr. B. E. Cunningham, 1935.	Copyright 1936 Sacred Harp Publishing Company.
400	400	400	TRUE	STRUGGLE ON	L.M.H.	Hear my cry, O God; attend unto my prayer.—Ps. 61:1.	E♭ Major	The Sacred Harp, 1859.	H. S. Rees, 1859. Alto Anna Blackshear, 1902.	[no copyright]
401	401	401	TRUE	CUBA	[no marking]	Go ye therefore, and teach all nations.—Matt. 28:19.	G Major	The Sacred Harp, 1859.	J. H. Bolen and H. S. Rees, 1859. Alto S. M. Denson, 1911.	[no copyright]
402	402	402	TRUE	PROTECTION	L.P.M.	He maketh me to lie down in green pastures: he leadeth me beside the still waters.—Ps. 23:2.	E♭ Major	Joseph Addison, 1712.	C. F. Letson, 1870.	[no copyright]
403	403	403	TRUE	HEAVENLY REST	C.M.	Then shall ye also appear with him in glory.—Col. 3:4.	F Major	Augustus Toplady, 1759.	John S. Terry, 1870. Alto S. M. Denson, 1911.	[no copyright]
404	404	404	TRUE	YOUTH WILL SOON BE GONE	L.M.D.	Yet a little while is the light with you.—John 12:35.	F Major	Divine Songs, 1814.	J. P. Rees, 1855. Alto S. M. Denson, 1911.	[no copyright]
405	405	405	TRUE	THE MARCELLAS	7s.	To God only wise, be glory through Jesus Christ for ever.—Rom. 16:27.	E♭ Major	John Cennick, 1742.	Edmund Dumas, 1859. Alto B. P. Poyner, 1902.	[no copyright]
406	406	406	TRUE	NEW HARMONY	8s & 7s D.	As sorrowful, yet alway rejoicing.—2 Cor. 6:10.	G Major	The Zion Songster, 1827.	Arr. Anna L. M. A. Lancaster, 1859. Alto S. M. Denson, 1911.	[no copyright]
407	407	407	TRUE	CHARLTON	C.M.D.	For I have learned, in whatsoever state I am, therewith to be content.—Phil. 4:11.	E♭ Major	Frances Maria Cowper, 1792.	Leonard P. Breedlove, 1854.	[no copyright]
408	408	408	TRUE	WEEPING MARY	7,6.	But Mary stood without at the sepulchre weeping.—John 20:11.	D Major	The Sacred Harp, 1859.	J. P. Rees, 1859. Alto W. M. Cooper, 1902.	[no copyright]
n616	10616	409	TRUE	EXETER	C.M.D.	The desert shall rejoice, and blossom as the rose.—Isa. 35:1.	F Major	Anne Steele, 1760.	Lauren R. Bock, 2009.	Copyright 2025 Sacred Harp Publishing Company.
410t	410.1	410.1	TRUE	THE DYING CALIFORNIAN	8s & 7s.	We should be made heirs according to the hope of eternal life.—Titus 3:7.	A Major	Kate Harris, 1850.	Arr. and alto Howard Denson, 1935, from R. F. Ball and Drinkard, 1859.	Copyright 1936 Sacred Harp Publishing Company.
410b	410.2	410.2	TRUE	MUTUAL LOVE	7s & 6s D.	If we suffer, we shall also reign with him.—2 Tim. 2:12.	G Major	John Leland, 1793.	William Walker, 1835. Alto 1867.	[no copyright]
411	411	411	TRUE	MORNING PRAYER	C.M.D.	They shall lift up their voice, they shall sing for the majesty of the Lord.—Isa. 24:14.	F♯ Minor	Lloyd’s Primitive Hymns, 1841.	T. J. Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
412	412	412	TRUE	NEW HOSANNA	L.M.	Blessed is he that cometh in the name of the Lord; Hosanna in the highest.—Matt. 21:9.	B♭ Major	Dobell’s New Selection, 1806.	Arr. H. S. Rees, 1859. Alto W. M. Cooper, 1902.	[no copyright]
n1220	11220	413	TRUE	BUFFAM FALLS	C.M.D.	But by the grace of God I am what I am: and his grace which was bestowed upon me was not in vain.—1 Cor. 15:10.	B Minor	John Newton, 1779.	Arr. Tim Eriksen, 2025.	Copyright 2025 Sacred Harp Publishing Company.
n354	10354	414.1	TRUE	FAREWELL BRETHREN	C.M.	Lord, now lettest thou thy servant depart in peace, according to thy word.—Luke 2:29.	A Major	Winchester’s Collection, 1782.	Jesse P. Karlsberg, 2010.	Copyright 2025 Sacred Harp Publishing Company.
414	414	414.2	TRUE	PARTING FRIEND	C.M.D.	A friend loveth at all times.—Prov. 17:17.	F Major	The Sacred Harp, 1859.	Arr. J. C. Graham, 1859. Alto Anna Blackshear, 1902.	[no copyright]
n1160	11160	415	TRUE	ENDLESS PRAISE	C.M.	For a thousand years in thy sight are but as yesterday when it is past.—Ps. 90:4.	D Minor	v. 1 A Collection of Sacred Ballads, 1790. v. 2 Simon Browne, 1720.	J. D. Wall, 1935.	Copyright 1936 Sacred Harp Publishing Company.
416	416	416	TRUE	THE CHRISTIAN’S NIGHTLY SONG	6,6,10,6,6,10.	To the praise of the glory of his grace.—Eph. 1:6.	E Minor	Mead’s General Selection, 1807.	E. T. Pound, 1855. Alto Hugh W. McGraw, 1971.	[no copyright]
417	417	417	TRUE	WEEPING PILGRIM	[no marking]	I am a stranger in the earth.—Ps. 119:19.	G Major	J. P. Rees, 1859.	J. P. Rees, 1859. Alto W. M. Cooper, 1902.	[no copyright]
418	418	418	TRUE	REES	C.M.	An house not made with hands.—2 Cor. 5:1.	D Major	Isaac Watts, 1709.	Edmund Dumas, 1859. Alto S. M. Denson, 1911.	[no copyright]
419	419	419	TRUE	MELANCHOLY DAY	C.M.D.	The fool hath said in his heart, There is no God.—Ps. 14:1.	F♯ Minor	Isaac Watts, 1707.	H. S. Rees, 1859. Alto W. M. Cooper, 1902.	[no copyright]
n851	10851	420.1	TRUE	TIDES OF LOVE	C.M.	For with thee is the fountain of life: in thy light shall we see light.—Ps. 36:9.	F Major	Barrett Patton, 2020.	Barrett Patton, 2020.	Copyright 2025 Sacred Harp Publishing Company.
420	420	420.2	TRUE	BISHOP	C.M.	Where I am, there ye may be also.—John 14:3.	F Major	Octavia Bishop McGraw, 1935.	T. B. McGraw, 1935.	Copyright 1936 Sacred Harp Publishing Company.
421	421	421	TRUE	SWEET MORNING	L.M.H.	And he shall send his angels with a great sound of a trumpet, and they shall gather together his elect.—Matt. 24:31.	E Minor	A Collection of Sacred Ballads, 1790.	Arr. H. S. Rees, 1859. Alto Anna Blackshear, 1902.	[no copyright]
422	422	422	TRUE	BURDETTE	C.M.	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace.—Eph. 1:7.	F Major	Charles Wesley, 1742.	S. Whitt Denson, 1909.	[no copyright]
423	423	423.1	TRUE	GRANTVILLE	C.M.	That we may obtain mercy, and find grace to help in time of need.—Heb. 4:16.	F♯ Minor	Isaac Watts, 1707.	J. P. Rees, 1859. Alto S. M. Denson, 1911.	[no copyright]
n984	10984	423.2	TRUE	HALL	S.M.	Man is like to vanity: his days are as a shadow that passeth away.—Ps. 144:4.	E Minor	John Leland, 1790.	Leah Velleman, 2019.	Copyright 2025 Sacred Harp Publishing Company.
424	424	424	TRUE	SWEET UNION	L.M.H.	O Lord, thou art my God; I will exalt thee, I will praise thy name; for thou hast done wonderful things.—Isa. 25:1.	E♭ Major	Samuel Medley, 1782.	J. P. Rees, 1859. Alto S. M. Denson, 1911.	[no copyright]
425	425	425	TRUE	GOLDEN STREETS	7,7.	We are journeying unto the place of which the Lord said, I will give it you.—Num. 10:29.	A Major	The Southern Harmony, 1835.	Arr. J. L. Pickard, 1859. Alto Anna Blackshear, 1902.	[no copyright]
426t	426.1	426.1	TRUE	KELLEY	C.M.D.	For ye yourselves are taught of God to love one another.—1 Thess. 4:9.	G Major	Amanda Burdette Denson, 1908.	Amanda Burdette Denson, 1908.	[no copyright]
426b	426.2	426.2	TRUE	JASPER	C.M.	I will sing unto the Lord as long as I live.—Ps. 104:33.	F Major	Ottiwell Heginbotham, 1794.	T. J. Denson, 1907.	[no copyright]
428	428	428	TRUE	WORLD UNKNOWN	S.M.	If a man die, shall he live again?—Job 14:14.	F♯ Minor	Charles Wesley, 1763.	H. S. Rees, 1859. Alto S. M. Denson, 1911.	[no copyright]
n420	10420	429	TRUE	RED SANDS	C.P.M.	For here have we no continuing city, but we seek one to come.—Heb. 13:14.	F Major	Charles Wesley, 1747.	Barry Parsons, 2018.	Copyright 2025 Sacred Harp Publishing Company.
430	430	430	TRUE	ARBACOOCHEE	C.M.D.	And Jesus went forth, and saw a great multitude, and was moved with compassion toward them, and he healed their sick.—Matt. 14:14.	F♯ Minor	Isaac Watts, 1719.	S. M. Denson, 1908.	[no copyright]
431	431	431	TRUE	NEW BETHANY	L.M.	Before the mountains were brought forth, or ever thou hadst formed the earth and the world, even from everlasting to everlasting, thou art God.—Ps. 90:2.	F Major	Harriet Auber, 1829.	B. F. White, Jr., 1870.	[no copyright]
432	432	432	TRUE	CHEVES	L.M.	My grace is sufficient for thee.—2 Cor. 12:9.	F Major	William P. Biddle and William J. Newborn, 1825.	Oliver Bradfield, 1857. Alto S. M. Denson, 1911.	[no copyright]
n214	10214	433	TRUE	SPRINGDALE	L.M.	But the Lord is my defence; and my God is the rock of my refuge.—Ps. 94:22.	F Minor	Isaac Watts, 1719.	Cory Winters, 2019.	Copyright 2025 Sacred Harp Publishing Company.
434	434	434	TRUE	FILLMORE	L.M.D.	I will sing unto the Lord as long as I live.—Ps. 104:33.	F Major	Ottiwell Heginbotham, 1794.	J. P. Rees, 1870.	[no copyright]
435	435	435	TRUE	SACRED REST	L.M.	It is a good thing to give thanks unto the Lord, and to sing praises unto thy name ... upon the harp with a solemn sound.—Ps. 92:1, 3.	F Major	Isaac Watts, 1719.	W. D. Jones, 1870.	[no copyright]
436	436	436	TRUE	MORNING SUN	L.M.D.	Yet a little while is the light with you. Walk while ye have the light, lest darkness come upon you.—John 12:35.	E♭ Major	Divine Songs, 1814.	S. M. Denson, 1911.	[no copyright]
n574	10574	437	TRUE	ENOCH	S.M.	I will abide in thy tabernacle for ever: I will trust in the covert of thy wings.—Ps. 61:4.	F Major	Isaac Watts, 1719.	Keillor Mose, 2019.	Copyright 2025 Sacred Harp Publishing Company.
n908	10908	438	TRUE	THE BLIND GIRL	C.M.D.	For now we see through a glass, darkly; but then face to face.—1 Cor. 13:12.	C Major	Samuel G. Goodrich, 1831.	J. M. and J. C. Brown, 1908.	[no copyright]
439	439	439	TRUE	JORDAN	C.M.D.	But the land, whither ye go to possess it, is a land of hills and valleys, and drinketh water of the rain of heaven.—Deut. 11:11.	F Major	Samuel Stennett, 1787.	A. M. Cagle, 1908.	[no copyright]
440	440	440	TRUE	NORTH SALEM	C.M.	But truly as the Lord liveth, and as thy soul liveth, there is but a step between me and death.—1 Sam. 20:3.	E Minor	Isaac Watts, 1707.	Stephen Jenks, 1799. Alto W. H. Swan, 1848.	[no copyright]
441	441	441	TRUE	RAYMOND	C.M.	The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor.—Luke 4:18.	F Major	Philip Doddridge, 1755.	Arr. John G. McCurry, 1855, from Stephen Jenks, 1799. Alto The Christian Harmony, 1867.	[no copyright]
442	442	442	TRUE	NEW JORDAN	C.M.D.	Thine eyes shall see the king in his beauty: they shall behold the land that is very far off.—Isa. 33:17.	C♯ Minor	Samuel Stennett, 1787.	The Easy Instructor, 1815.	[no copyright]
444	444	444	TRUE	ALL SAINTS NEW	L.M.D.	Let me die the death of the righteous, and let my last end be like his!—Num. 23:10.	D Minor	Isaac Watts, 1707.	Amariah Hall, 1791.	[no copyright]
445	445	445	TRUE	PASSING AWAY	C.M.	And as it is appointed unto men once to die, but after this the judgment.—Heb. 9:27.	C Major	Charles Wesley, 1763.	John A. Watson, 1872. Alto William Walker, 1873.	[no copyright]
446	446	446	TRUE	INFINITE DAY	C.M.D.	Thy comforts delight my soul.—Ps. 94:19.	F Major	Isaac Watts, 1707.	Ruth Denson Edwards, 1936.	Copyright 1936 Sacred Harp Publishing Company.
447	447	447	TRUE	WONDROUS CROSS	L.M.D.	But God forbid that I should glory, save in the cross of our Lord Jesus Christ.—Gal. 6:14.	E Minor	Isaac Watts, 1707.	Paine Denson, 1932.	Copyright 1936 Sacred Harp Publishing Company.
448t	448.1	448.1	TRUE	CONSECRATION	L.P.M.	Present your bodies a living sacrifice, holy, acceptable unto God.—Rom. 12:1.	F♯ Minor	Charles Wesley, 1744.	W. S. Turner, 1866.	[no copyright]
448b	448.2	448.2	TRUE	THE GRIEVED SOUL	7s & 6s D.	For he doth not afflict willingly nor grieve the children of men.—Lam. 3:33.	A Major	Joseph Hart, 1759.	Arr. Melissa A. Hendon, 1859. Alto Julia Sellers, 1902.	[no copyright]
n890	10890	449	TRUE	LOVELY SOCIAL BAND	L.M.D.	That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work.—Col. 1:10.	F Major	John Poage Campbell, 1806.	Richard Mayers, 2022.	Copyright 2025 Sacred Harp Publishing Company.
450	450	450	TRUE	ELDER	7s D.	Things which are seen are temporal; but the things which are not seen are eternal.—2 Cor. 4:18.	E Major	William Bengo Collyer, 1812.	M. Mark Wynn, 1870.	[no copyright]
n916	10916	451	TRUE	MILTON	C.M.D.	But we glory in tribulations.—Rom. 5:3.	F♯ Minor	James Edmeston, 1820.	Keillor Mose, 2019.	Copyright 2025 Sacred Harp Publishing Company.
n629	10629	452.1	TRUE	PETERBOROUGH	C.M.	I will commune with thee from above the mercy seat.—Exod. 25:22.	A Major	John Newton, 1779.	The Musical Instructor, 1803.	[no copyright]
452	452	452.2	TRUE	MARTIN	7s D.	An hiding place from the wind, and a covert from the tempest.—Isa. 32:2.	F Major	Charles Wesley, 1738.	S. B. Marsh, 1836. Alto The Christian Harmony, 1867.	[no copyright]
n820	10820	453	TRUE	NEWBURY	C.M.	His abundant mercy hath begotten us again unto a lively hope by the resurrection of Jesus Christ from the dead.—1 Pet. 1:3.	A Minor	The Divine Companion, 1707.	Samuel Turner, 2022.	Copyright 2025 Sacred Harp Publishing Company.
454	454	454	TRUE	THE BETTER LAND	L.M.H.	But now they desire a better country, that is, an heavenly.—Heb. 11:16.	B♭ Major	O. A. Parris, 1935.	O. A. Parris, 1935.	Copyright 1936 Sacred Harp Publishing Company.
455	455	455	TRUE	SOAR AWAY	H.M.	Then would I fly away, and be at rest.—Ps. 55:6.	D Minor	Charles Wesley, 1742.	A. M. Cagle, 1935.	Copyright 1936 Sacred Harp Publishing Company.
456	456	456	TRUE	SACRED MOUNT	C.M.H.	Sing forth the honour of his name.—Ps. 66:2.	E Major	Philip Doddridge, 1755.	A. M. Cagle, 1935.	Copyright 1936 Sacred Harp Publishing Company.
457	457	457	TRUE	WAYFARING STRANGER	9s & 8s D.	I am a stranger in the earth.—Ps. 119:19.	F Minor	The Christian Songster, 1858.	Arr. John M. Dye, 1935.	Copyright 1936 Sacred Harp Publishing Company.
458	458	458	TRUE	FRIENDSHIP	8s & 7s D.	Thou Son of David, have mercy on me.—Mark 10:48.	G Minor	John Newton, 1779.	E. F. Williams, 1870. Alto Anna Blackshear, 1902.	[no copyright]
n136	10136	459	TRUE	HURRICANE CREEK	L.M.H.	I will praise thee, O Lord my God, with all my heart: and I will glorify thy name for evermore.—Ps. 86:12.	A Major	Samuel Medley, 1782.	David Warren Steel, 2012.	Copyright 2025 Sacred Harp Publishing Company.
460	460	460	TRUE	SARDIS	8,8,8,8,8,4.	There shall be no more death, neither sorrow ... for the former things are passed away.—Rev. 21:4.	G Major	The Baltimore Collection, 1802.	Sarah Lancaster, 1870.	[no copyright]
n448	10448	461	TRUE	JOHN 3:37	C.M.D.	In my distress I called upon the Lord, and cried unto my God: he heard my voice.—Ps. 18:6.	E Major	Henry Hart Milman, 1827.	Raymond C. Hamrick, 2007.	Copyright 2025 Sacred Harp Publishing Company.
462	462	462	TRUE	FAITH AND HOPE	C.M.D.	When he hath tried me, I shall come forth as gold.—Job 23:10.	F Major	v. 1 Mercer’s Cluster, 1810. v. 2 Isaac Watts, 1707, and A Collection of Sacred Ballads, 1790.	A. M. Cagle, 1957.	Copyright 1960 Sacred Harp Publishing Company.
n223	10223	463	TRUE	MOREL	C.M.	For he hath broken the gates of brass, and cut the bars of iron in sunder.—Ps. 107:16.	E Minor	Isaac Watts, 1707.	Dan Thoma, 2007.	Copyright 2025 Sacred Harp Publishing Company.
